beam_id,starttime,TEC_per_m2,dTEC_per_m2,pulse_code,integration_time
64016.0,2025-07-22T04:03:42.0,3.4672507138409464e16,2.644499440173248e15,ac,10min
64016.0,2025-07-22T04:13:45.0,2.8956671774429864e16,3.176320389173502e15,ac,10min
64016.0,2025-07-22T04:23:48.0,7.521775824889726e16,6.450506825645949e15,ac,10min
64016.0,2025-07-22T04:33:51.0,8.164763530794893e16,6.299267904507297e15,ac,10min
64016.0,2025-07-22T04:43:54.0,7.374052109357278e16,1.9415742409164464e16,ac,10min
64016.0,2025-07-22T04:53:58.0,6.806641520799377e16,6.085033955708175e15,ac,10min
64016.0,2025-07-22T05:04:01.0,6.778832042492565e16,3.1907099871258532e16,ac,10min
64016.0,2025-07-22T05:14:04.0,7.330945811056544e16,6.039079718872708e15,ac,10min
64016.0,2025-07-22T05:24:07.0,3.918682890546666e16,3.336430669628394e15,ac,10min
64016.0,2025-07-22T05:34:10.0,4.255246698792287e16,3.2377497691986025e15,ac,10min
64016.0,2025-07-22T05:44:14.0,7.624462726693584e16,6.960458682150231e15,ac,10min
64016.0,2025-07-22T05:54:17.0,7.592092827862237e16,8.133590515040054e15,ac,10min
64157.0,2025-07-22T04:03:42.0,6.488618425065061e16,4.5143930891384366e18,ac,10min
64157.0,2025-07-22T04:13:45.0,7.224286184520008e16,2.0440866721628856e18,ac,10min
64157.0,2025-07-22T04:23:48.0,6.471858340823466e16,5.619022715238533e15,ac,10min
64157.0,2025-07-22T04:33:51.0,7.141209405036792e16,1.2597463054570404e16,ac,10min
64157.0,2025-07-22T04:43:54.0,7.212580494009594e16,1.0426371369030504e16,ac,10min
64157.0,2025-07-22T04:53:58.0,6.707478870245594e16,1.8174974591781856e16,ac,10min
64157.0,2025-07-22T05:04:01.0,6.160194593849003e16,6.601494355831838e15,ac,10min
64157.0,2025-07-22T05:14:04.0,5.959066534131428e16,6.469786649613891e15,ac,10min
64157.0,2025-07-22T05:24:07.0,6.471830284987907e16,6.214404980005121e15,ac,10min
64157.0,2025-07-22T05:34:10.0,6.616394780766341e16,5.285253455152186e15,ac,10min
64157.0,2025-07-22T05:44:14.0,6.614992464572697e16,5.274732940869392e15,ac,10min
64157.0,2025-07-22T05:54:17.0,6.711013229025441e16,6.113711753079939e15,ac,10min
64964.0,2025-07-22T04:03:42.0,9.269620639342227e16,6.40786161216122e18,ac,10min
64964.0,2025-07-22T04:13:45.0,8.637891716966731e16,1.586389723895113e16,ac,10min
64964.0,2025-07-22T04:23:48.0,7.292611215574998e16,2.1590207484629424e16,ac,10min
64964.0,2025-07-22T04:33:51.0,8.534142087726181e16,6.132433672480457e16,ac,10min
64964.0,2025-07-22T04:43:54.0,7.16240086033826e16,5.639010781910777e15,ac,10min
64964.0,2025-07-22T04:53:58.0,7.232990155826949e16,5.898290502923565e15,ac,10min
64964.0,2025-07-22T05:04:01.0,8.584018438227528e16,7.472030264325805e15,ac,10min
64964.0,2025-07-22T05:14:04.0,8.264415013988294e16,6.980488635768669e15,ac,10min
64964.0,2025-07-22T05:24:07.0,7.987420909527915e16,7.071906986696599e15,ac,10min
64964.0,2025-07-22T05:34:10.0,7.952800838758523e16,1.307985162661089e16,ac,10min
64964.0,2025-07-22T05:44:14.0,7.039399643171672e16,6.843145736323619e15,ac,10min
64964.0,2025-07-22T05:54:17.0,7.809877634841672e16,4.566886469792484e17,ac,10min
65066.0,2025-07-22T04:03:42.0,7.665520592876542e16,6.778316027237163e15,ac,10min
65066.0,2025-07-22T04:13:45.0,7.1684577440983224e16,6.504172112242687e15,ac,10min
65066.0,2025-07-22T04:23:48.0,7.433874715134797e16,5.941284858069502e15,ac,10min
65066.0,2025-07-22T04:33:51.0,6.935752598354203e16,5.984289023940733e15,ac,10min
65066.0,2025-07-22T04:43:54.0,7.014884581299077e16,5.210452752921701e15,ac,10min
65066.0,2025-07-22T04:53:58.0,6.921060524639099e16,6.131990693494145e15,ac,10min
65066.0,2025-07-22T05:04:01.0,5.575309838106543e16,1.4527946763600124e16,ac,10min
65066.0,2025-07-22T05:14:04.0,6.939096940303384e16,7.220733245586463e15,ac,10min
